uid,version,timeToCheckout,timeToFirstAddToCart
36554357054,a,,26506
23160513623,b,22525,18179
35264450763,a,56268,18670
34053534470,a,48925,8878
31305065565,b,121546,41642
24174320707,b,130246,54459
35277546434,a,78552,38500
32323742424,b,146382,46378
6331032412,b,106102,37150
32747642312,b,118452,54525
2256441077,a,84961,44180
30633752315,a,50987,20489
23421414071,a,,3572
3323152175,b,49406,14093
37022457665,a,46161,11470
3700241464,a,34682,6637
10426366410,b,32393,4756
32777301727,b,173721,62321
5437062454,a,48557,11375
6577637174,b,,3884
10771371774,b,54672,37833
11107107444,b,,
11006112442,b,,19476
21576226335,b,54139,16892
32577754760,a,103092,30393
35422316653,a,84216,11808
3303246644,a,,11434
30324444036,b,85557,23169
7027665453,a,81582,37517
15714467025,b,,
30025750175,b,161436,30181
25361026242,b,,
20645574227,a,104256,27732
30507322654,b,43051,10524
5510677775,b,134018,38015
32151703736,b,70177,14939
21156441011,a,85601,39890
15153333334,b,117565,20417
20564260126,a,,1768
22243747441,a,65168,13503
13717576557,b,20769,7637
23303025407,b,,13437
4561040727,b,39887,11378
33034156576,b,30646,15565
24302306014,a,90092,26443
1102405711,b,92787,28464
2646425056,b,58305,21908
6116635560,a,56687,23635
24066124013,b,66691,22976
12064532003,a,60064,24300
34746251635,b,145852,130929
24305424033,a,,46194
34230434270,b,68619,19927
35055467041,b,,
24161725451,b,,
32765661727,a,,
15143127005,b,44207,4794
25175033750,b,156098,68784
32615402622,a,27501,9322
13271557631,a,,15485
13172100056,b,77593,37558
6515320376,b,98609,50136
23363571774,a,,
24765527757,b,47737,12626
31766347125,b,,2831
27335547633,a,86711,30193
10400347704,b,81696,20143
16760056736,a,60453,15297
31356532645,b,90882,25537
17774127040,a,107595,11353
7216165602,b,93904,24889
6120050343,b,59458,35721
26131115573,a,113317,7394
30157775536,a,47115,21689
25127042732,a,64431,17492
16120671665,a,46711,5846
36475347507,b,100082,26539
2206524377,a,,10645
5127633237,a,85321,10638
4443012703,b,,9348
31372274242,b,111900,29917
32372652213,b,195199,115103
7352462177,b,161004,25520
12655323177,a,44686,9082
7730747067,a,42494,17513
5462503515,a,106823,11384
6153001506,a,,
31210500355,b,65134,22735
24413413252,a,,10124
30053357457,a,54436,18126
30757257734,a,,
14256167637,b,63363,21659
121402371,b,42637,21391
6551437105,b,77334,43077
34027714646,b,91563,14299
33640714356,b,120449,19520
33775003276,b,,
25323633662,a,100878,68283
11665320564,a,,9537
12651744023,a,127767,20237
4524344016,a,106634,23168
515543376,a,,
5136236473,a,42814,3517
13454164476,b,120266,25835
23447330232,b,125016,31385
30106747472,b,84773,14878
15645200726,b,86500,53045
37364421726,a,61397,18936
13340353365,a,,
23412603713,b,79300,19125
27371024530,b,89509,29077
32061004231,b,184910,28207
20636101631,b,45460,7911
6226776442,b,57702,21471
26550046615,a,87641,19041
10515765357,a,115988,10195
31735410061,a,,
22221425425,b,108799,43397
36730433365,a,147628,29625
15720315315,b,118552,52318
6442146605,b,57538,23973
27000454705,a,128247,49028
14706137714,a,98066,35814
27742421564,b,52149,12978
31374635467,a,30517,17090
24202067544,b,,
5356616326,a,54071,21967
3271011241,a,98541,20360
23542435765,b,73892,46080
32263217137,a,,
10402302623,a,73449,47399
16121427002,b,,161312
26110434103,a,97136,40518
15507466426,a,45028,9978
17714213400,b,,33613
1172160704,a,83949,7407
5064260364,b,67617,34904
35607065527,a,48251,28445
10526360276,b,77271,24345
10226470543,a,116896,19305
3270372171,a,,21882
22732541770,a,95142,11279
30214075445,a,17815,2728
17236467101,b,86079,33186
4512040325,b,,
11676175701,b,69879,16475
25347331742,b,80234,35584
221442121,a,85200,16919
25441736434,a,68596,11182
6353135331,b,,
21365506374,a,51885,12283
23023124406,a,69150,27737
30570113151,b,74959,13961
3215645407,b,43868,17586
37601510727,a,69132,16356
7776007131,a,,
5271226313,b,96865,51333
2701225773,a,69438,17852
36014126510,a,141590,7205
22357555436,a,47731,2747
22136141117,b,86953,22460
21257273660,a,32583,17860
30714105061,a,40528,4062
31211776747,b,69255,13181
37332113021,a,79991,39385
23553604611,a,63694,50664
20141242426,b,113469,40924
12464544464,b,51879,19549
11425650767,a,144249,58638
25326117147,b,134057,49364
7633622447,a,103804,28365
30032610126,a,69899,43180
37314162671,b,,
12261734321,a,,
22332643322,a,73098,43278
