uid,version,timeToCheckout,timeToFirstAddToCart
32577754760,a,103092,30393
5437062454,a,48557,11375
34027714646,b,91563,14299
27177604051,b,86571,21289
12655323177,a,44686,9082
15102313004,b,53731,16692
21257273660,a,32583,17860
11665320564,a,,9537
34663106502,b,93538,16899
27335547633,a,86711,30193
13322657506,b,114144,23672
31372274242,b,111900,29917
17236467101,b,86079,33186
16760056736,a,60453,15297
16252226023,a,59332,7240
30214075445,a,17815,2728
32175653560,a,16943,2796
14256167637,b,63363,21659
5462503515,a,106823,11384
16403760642,a,82958,19497
10554204636,b,67131,20085
34746251635,b,145852,130929
5210241013,b,74994,21112
16417045516,b,105834,56688
30011303704,a,,
16175670766,a,25150,10235
10771371774,b,54672,37833
14760772171,a,69729,47345
21523006126,b,59698,21997
24066124013,b,66691,22976
14330363015,a,38528,12779
27371024530,b,89509,29077
27742421564,b,52149,12978
26472103057,b,116576,73629
31356532645,b,90882,25537
23523641073,b,127947,36448
32235652724,b,69289,10885
30277527734,a,68730,7099
27246717246,a,111682,15232
4512040325,b,,
23411251712,b,,
6577637174,b,,3884
10526360276,b,77271,24345
23363571774,a,,
23412603713,b,79300,19125
13451473665,a,119688,26207
15720315315,b,118552,52318
3046351564,b,81348,8033
7352462177,b,161004,25520
20141242426,b,113469,40924
20645574227,a,104256,27732
10123323001,a,83012,9049
25323633662,a,100878,68283
15507466426,a,45028,9978
16120671665,a,46711,5846
24305424033,a,,46194
5127633237,a,85321,10638
24161725451,b,,
5510677775,b,134018,38015
4524344016,a,106634,23168
6220067662,b,77800,44452
30446563530,b,121110,53781
14714731514,a,41554,28242
13446060215,b,110469,21970
5543323621,a,,24451
14110152551,b,35052,29425
3270372171,a,,21882
32131720601,a,80349,30207
15710110631,a,57513,14446
25347331742,b,80234,35584
13777577525,a,123883,15892
32263217137,a,,
6442146605,b,57538,23973
13317614463,a,,
3616505161,b,113752,27762
5136236473,a,42814,3517
22357555436,a,47731,2747
1601247661,b,125973,78452
12053030672,a,74123,16261
24413413252,a,,10124
37601510727,a,69132,16356
34071537674,b,75210,57523
37314162671,b,,
7462455307,b,88608,12826
2256441077,a,84961,44180
2206524377,a,,10645
20564260126,a,,1768
30757257734,a,,
10715267661,b,121318,28224
35705151460,a,85427,7063
23542435765,b,73892,46080
6120050343,b,59458,35721
10662535054,b,32165,18934
22732541770,a,95142,11279
35277546434,a,78552,38500
25176674223,a,133283,21493
13454164476,b,120266,25835
22332643322,a,73098,43278
4443012703,b,,9348
1172160704,a,83949,7407
33641460736,a,61923,12930
30346300315,a,99721,5847
25435701563,b,113404,46107
35377025756,b,82614,50999
22221425425,b,108799,43397
31766347125,b,,2831
1747317101,b,77904,18818
10515765357,a,115988,10195
3403122320,b,114763,32363
15307364372,b,,86718
2646425056,b,58305,21908
22243747441,a,65168,13503
27314044641,b,66572,19325
33244511505,a,39092,21021
11663311513,a,93046,42132
22103036321,b,88323,41974
25740237527,a,111533,10157
32372652213,b,195199,115103
37332113021,a,79991,39385
26632354314,b,,11227
15645200726,b,86500,53045
23774562321,b,126301,42408
15045007442,a,81799,31432
13224752432,b,161076,76994
13271557631,a,,15485
166113636,b,78617,20653
25175033750,b,156098,68784
1727700703,a,63977,30061
30324444036,b,85557,23169
32777301727,b,173721,62321
1102405711,b,92787,28464
27516410201,a,,
26614157703,b,165902,52793
11107107444,b,,
12305113273,b,33889,30152
30524635214,a,14209,2160
10150415650,a,112905,18698
33775003276,b,,
21000601221,a,66438,32194
44243423,a,71519,26388
30106747472,b,84773,14878
25441736434,a,68596,11182
27225223314,a,,
6104212750,b,101247,28698
13053575251,b,51324,9144
33640714356,b,120449,19520
27000454705,a,128247,49028
1212440144,a,,15905
17757013603,b,93931,41830
7432033455,a,58081,7202
24507224204,b,71910,31715
25754674433,a,90681,49640
5064260364,b,67617,34904
2424025504,a,123317,49315
7035356500,a,83892,35035
35127654104,b,151495,82238
21156441011,a,85601,39890
1436766762,a,,52303
11676175701,b,69879,16475
14520201126,b,23982,21535
5401522403,a,67797,2299
12651744023,a,127767,20237
34230434270,b,68619,19927
502022430,b,72801,22533
26200420757,b,,
7776007131,a,,
31305065565,b,121546,41642
6153001506,a,,
27417425022,b,,
26166055313,b,,30349
37364421726,a,61397,18936
22160577603,b,36039,8762
35724141402,a,81585,9705
15153333334,b,117565,20417
3450566174,a,37540,11356
14265616643,a,50064,22566
6243405316,a,,24069
23303025407,b,,13437
30732067341,a,72720,25157
6353135331,b,,
37761627567,b,112455,46476
23421414071,a,,3572
33034156576,b,30646,15565
36032005471,a,74252,7042
35055467041,b,,
26110434103,a,97136,40518
15143127005,b,44207,4794
10226470543,a,116896,19305
32151703736,b,70177,14939
25127042732,a,64431,17492
22136141117,b,86953,22460
34735761125,b,,19456
13037173332,b,,
23447330232,b,125016,31385
521416064,a,,
23751172370,a,26334,8854
10262370027,b,,
11053735706,b,94320,57185
35704615470,b,71886,29103
35264450763,a,56268,18670
3215645407,b,43868,17586
31554727126,a,97567,62916
7552347442,a,76869,22649
1527434410,b,68894,32983
5356616326,a,54071,21967
10400347704,b,81696,20143
24302306014,a,90092,26443
33141502261,a,,
24071755370,b,77194,27244
3700241464,a,34682,6637
6551437105,b,77334,43077
3323152175,b,49406,14093
32747642312,b,118452,54525
3360360431,b,121068,52180
7633622447,a,103804,28365
14706137714,a,98066,35814
34135647511,a,64263,26007
16121427002,b,,161312
13340353365,a,,
1071067222,a,68603,13058
25727243026,b,76003,12257
25616667243,a,236283,45761
121402371,b,42637,21391
10402302623,a,73449,47399
25714161625,b,73109,31203
23553604611,a,63694,50664
27623137606,a,74630,41237
36574753540,a,142897,48823
30157775536,a,47115,21689
17130247035,b,77255,32202
6331032412,b,106102,37150
12617060252,b,40482,15697
34702534344,b,46672,15734
36057415072,a,108226,39513
11006112442,b,,19476
7216165602,b,93904,24889
10003075462,b,87354,21850
24202067544,b,,
27335254424,a,,
23154203413,b,55730,24746
23160513623,b,22525,18179
32304744545,a,,35923
5270536672,b,82714,25019
36475347507,b,100082,26539
13465060627,a,25055,3446
23234630152,b,64694,29948
21441530003,b,48477,5380
17250517553,a,78992,30244
31411350561,a,88434,29036
221442121,a,85200,16919
13172100056,b,77593,37558
12464544464,b,51879,19549
30030734774,a,80028,13328
3525046740,b,50096,18685
21365506374,a,51885,12283
21404740243,a,92273,37646
37441415516,b,36097,21370
17067575070,b,113737,41943
32061004231,b,184910,28207
7027665453,a,81582,37517
31403242617,a,91118,49320
2701225773,a,69438,17852
27106525745,a,47458,4395
31555031712,a,27216,7496
2327735375,b,91334,43222
31210500355,b,65134,22735
15714467025,b,,
25421150065,a,52128,29465
35422316653,a,84216,11808
11425650767,a,144249,58638
30032610126,a,69899,43180
30053357457,a,54436,18126
7730747067,a,42494,17513
515543376,a,,
31374635467,a,30517,17090
35607065527,a,48251,28445
